strike,call_price,put_price,spot,expiration
510.0,177.01,0.31,694.555,2026-03-13
515.0,166.0,0.24,694.555,2026-03-13
520.0,177.11,0.23,694.555,2026-03-13
535.0,154.12,0.28,694.555,2026-03-13
545.0,139.59,0.33,694.555,2026-03-13
550.0,132.64,0.34,694.555,2026-03-13
560.0,122.5,0.41,694.555,2026-03-13
585.0,104.36,0.61,694.555,2026-03-13
590.0,105.65,0.66,694.555,2026-03-13
595.0,99.89,0.69,694.555,2026-03-13
600.0,98.3,0.76,694.555,2026-03-13
605.0,91.22,0.83,694.555,2026-03-13
615.0,75.99,1.05,694.555,2026-03-13
620.0,76.74,1.17,694.555,2026-03-13
625.0,74.24,1.33,694.555,2026-03-13
630.0,71.62,1.5,694.555,2026-03-13
635.0,64.2,1.72,694.555,2026-03-13
640.0,45.01,1.95,694.555,2026-03-13
642.0,49.78,2.16,694.555,2026-03-13
644.0,49.97,2.33,694.555,2026-03-13
645.0,55.23,2.25,694.555,2026-03-13
650.0,45.56,2.58,694.555,2026-03-13
654.0,41.04,3.02,694.555,2026-03-13
655.0,45.7,3.01,694.555,2026-03-13
657.0,33.64,3.27,694.555,2026-03-13
658.0,42.75,3.26,694.555,2026-03-13
660.0,36.8,3.45,694.555,2026-03-13
663.0,34.66,3.76,694.555,2026-03-13
665.0,37.16,4.04,694.555,2026-03-13
666.0,35.27,4.32,694.555,2026-03-13
667.0,30.67,4.28,694.555,2026-03-13
668.0,31.15,4.38,694.555,2026-03-13
669.0,28.25,4.79,694.555,2026-03-13
670.0,31.82,4.67,694.555,2026-03-13
671.0,28.83,4.99,694.555,2026-03-13
672.0,30.25,5.05,694.555,2026-03-13
673.0,24.9,5.11,694.555,2026-03-13
674.0,23.54,5.45,694.555,2026-03-13
675.0,28.3,5.44,694.555,2026-03-13
676.0,24.02,5.55,694.555,2026-03-13
677.0,25.09,5.73,694.555,2026-03-13
678.0,26.16,6.15,694.555,2026-03-13
679.0,25.36,6.49,694.555,2026-03-13
680.0,24.47,6.35,694.555,2026-03-13
681.0,22.68,6.5,694.555,2026-03-13
682.0,23.0,6.69,694.555,2026-03-13
683.0,21.89,6.95,694.555,2026-03-13
684.0,21.33,7.43,694.555,2026-03-13
685.0,20.58,7.4,694.555,2026-03-13
686.0,19.13,8.12,694.555,2026-03-13
687.0,18.1,7.83,694.555,2026-03-13
688.0,17.62,8.21,694.555,2026-03-13
689.0,17.6,8.41,694.555,2026-03-13
690.0,16.79,8.75,694.555,2026-03-13
691.0,16.01,8.98,694.555,2026-03-13
692.0,14.71,9.4,694.555,2026-03-13
693.0,14.7,9.54,694.555,2026-03-13
694.0,13.62,10.03,694.555,2026-03-13
695.0,13.25,10.25,694.555,2026-03-13
696.0,12.67,10.64,694.555,2026-03-13
697.0,12.05,11.33,694.555,2026-03-13
698.0,11.32,11.38,694.555,2026-03-13
699.0,10.8,12.1,694.555,2026-03-13
700.0,10.26,12.21,694.555,2026-03-13
701.0,9.25,12.5,694.555,2026-03-13
702.0,9.03,19.6,694.555,2026-03-13
703.0,8.43,13.49,694.555,2026-03-13
704.0,7.92,29.11,694.555,2026-03-13
705.0,7.39,14.52,694.555,2026-03-13
706.0,6.92,29.29,694.555,2026-03-13
707.0,6.38,15.83,694.555,2026-03-13
708.0,5.77,31.66,694.555,2026-03-13
709.0,5.43,16.6,694.555,2026-03-13
710.0,5.08,17.45,694.555,2026-03-13
711.0,4.54,22.07,694.555,2026-03-13
712.0,4.34,19.32,694.555,2026-03-13
715.0,3.34,21.94,694.555,2026-03-13
717.0,2.68,22.41,694.555,2026-03-13
719.0,2.21,25.81,694.555,2026-03-13
750.0,0.12,64.0,694.555,2026-03-13
