strike,call_price,put_price,spot,expiration,ticker
50.0,642.24,0.04,693.9500122070312,2027-01-15,SPY
55.0,625.87,0.04,693.9500122070312,2027-01-15,SPY
70.0,615.12,0.05,693.9500122070312,2027-01-15,SPY
100.0,591.59,0.11,693.9500122070312,2027-01-15,SPY
110.0,582.58,0.16,693.9500122070312,2027-01-15,SPY
150.0,542.6,0.35,693.9500122070312,2027-01-15,SPY
155.0,527.5,0.32,693.9500122070312,2027-01-15,SPY
160.0,518.39,0.6,693.9500122070312,2027-01-15,SPY
165.0,513.39,0.37,693.9500122070312,2027-01-15,SPY
175.0,504.12,0.43,693.9500122070312,2027-01-15,SPY
200.0,481.85,0.6,693.9500122070312,2027-01-15,SPY
205.0,436.75,0.86,693.9500122070312,2027-01-15,SPY
210.0,473.8,0.66,693.9500122070312,2027-01-15,SPY
215.0,408.8,0.8,693.9500122070312,2027-01-15,SPY
220.0,471.91,0.8,693.9500122070312,2027-01-15,SPY
240.0,440.19,0.93,693.9500122070312,2027-01-15,SPY
250.0,431.13,1.03,693.9500122070312,2027-01-15,SPY
255.0,425.25,1.22,693.9500122070312,2027-01-15,SPY
260.0,395.84,1.09,693.9500122070312,2027-01-15,SPY
265.0,427.58,1.21,693.9500122070312,2027-01-15,SPY
270.0,376.33,1.3,693.9500122070312,2027-01-15,SPY
275.0,423.48,1.35,693.9500122070312,2027-01-15,SPY
280.0,418.74,1.41,693.9500122070312,2027-01-15,SPY
285.0,406.97,1.57,693.9500122070312,2027-01-15,SPY
290.0,405.2,1.52,693.9500122070312,2027-01-15,SPY
295.0,398.0,1.61,693.9500122070312,2027-01-15,SPY
300.0,386.07,1.72,693.9500122070312,2027-01-15,SPY
305.0,396.83,1.75,693.9500122070312,2027-01-15,SPY
310.0,391.1,1.8,693.9500122070312,2027-01-15,SPY
315.0,366.36,2.01,693.9500122070312,2027-01-15,SPY
320.0,371.9,2.03,693.9500122070312,2027-01-15,SPY
325.0,371.5,2.03,693.9500122070312,2027-01-15,SPY
330.0,373.02,2.17,693.9500122070312,2027-01-15,SPY
335.0,358.29,2.19,693.9500122070312,2027-01-15,SPY
340.0,348.0,2.38,693.9500122070312,2027-01-15,SPY
345.0,355.3,2.38,693.9500122070312,2027-01-15,SPY
350.0,349.75,2.49,693.9500122070312,2027-01-15,SPY
355.0,350.1,2.95,693.9500122070312,2027-01-15,SPY
360.0,336.1,2.68,693.9500122070312,2027-01-15,SPY
365.0,320.04,2.92,693.9500122070312,2027-01-15,SPY
370.0,332.0,3.0,693.9500122070312,2027-01-15,SPY
375.0,321.14,3.22,693.9500122070312,2027-01-15,SPY
380.0,314.77,3.49,693.9500122070312,2027-01-15,SPY
385.0,312.87,3.32,693.9500122070312,2027-01-15,SPY
390.0,305.07,3.46,693.9500122070312,2027-01-15,SPY
395.0,303.4,3.68,693.9500122070312,2027-01-15,SPY
400.0,302.61,3.6,693.9500122070312,2027-01-15,SPY
405.0,292.0,3.86,693.9500122070312,2027-01-15,SPY
410.0,298.69,4.13,693.9500122070312,2027-01-15,SPY
415.0,288.34,4.14,693.9500122070312,2027-01-15,SPY
420.0,290.0,4.29,693.9500122070312,2027-01-15,SPY
425.0,273.54,4.5,693.9500122070312,2027-01-15,SPY
430.0,249.61,4.46,693.9500122070312,2027-01-15,SPY
435.0,263.21,5.06,693.9500122070312,2027-01-15,SPY
440.0,255.88,4.84,693.9500122070312,2027-01-15,SPY
445.0,265.0,5.01,693.9500122070312,2027-01-15,SPY
450.0,259.0,5.22,693.9500122070312,2027-01-15,SPY
455.0,256.4,5.43,693.9500122070312,2027-01-15,SPY
460.0,250.78,5.95,693.9500122070312,2027-01-15,SPY
465.0,241.34,5.9,693.9500122070312,2027-01-15,SPY
470.0,241.53,6.1,693.9500122070312,2027-01-15,SPY
475.0,236.13,6.49,693.9500122070312,2027-01-15,SPY
480.0,232.22,6.54,693.9500122070312,2027-01-15,SPY
485.0,223.08,7.2,693.9500122070312,2027-01-15,SPY
490.0,208.0,7.35,693.9500122070312,2027-01-15,SPY
495.0,218.02,8.9,693.9500122070312,2027-01-15,SPY
500.0,213.37,7.71,693.9500122070312,2027-01-15,SPY
505.0,195.2,8.83,693.9500122070312,2027-01-15,SPY
510.0,200.0,8.52,693.9500122070312,2027-01-15,SPY
515.0,190.0,8.71,693.9500122070312,2027-01-15,SPY
